,Komentar,Kategori,clean_teks
459,"""Tuhan yesus baik semangat rick""",1,tuhan yesus semangat rick
460,"""Jangan di bales komen hate bang bikin sakit jempol, mending lanjut berkarya:)""",1,balas komen hate bang bikin sakit jempol mending karya
461,"""Eh lo nyadar ga ? Udah dekil terus tatoan, jadi nya kaya daki haha""",0,eh nyadar dekil tato nya kaya daki haha
462,"""jelek dapet selingkuhan jelek juga keren yaa imbang wkkw""",0,jelek selingkuh jelek keren yaa imbang wkkw
463,"""Wah ngehina fisik ni orang,ga bener ya wkwkwkwk""",1,ngehina fisik ni orangga ya wkwkwkwk
464,"""BUNUH DIRI LAH SONO GOBLOX""",0,bunuh sono goblox
465,"""Sabar semua komentar ini ujian""",1,sabar komentar uji
466,"""Santai rick yg ngehujat lo belom tau perjalanan hidup lo aja! Mereka hanya sok suci!""",1,santai rick ngehujat jalan hidup sok suci
467,"""Yang sabar yah,tetep semangat ngejar karirnya jangan dengerin kata orang mereka Cuma bisa ngebacot di komen doank""",1,sabar yahtetep semangat ngejar karirnya dengerin orang ngebacot komen
468,"""Erick masuk neraka jalur selingkuh bos""",0,erick masuk neraka jalur selingkuh bos
469,"""Trs berkarya walaupun brd di titik sprti ini""",1,karya brd titik
470,"""Stop lah ngatain orang lain lu pada itu yg ngatain orang lain ngaca dlu sebelum ngatain kayak suci aja hidup lu pada""",1,stop ngatain orang ngatain orang ngaca ngatain suci hidup
471,"""Yang ngatain keknya idupnya gapernag bikin kesalahan""",1,ngatain idupnya gapernag bikin salah
472,"""Jadi gila kau rupanya karna gak laku lagi di YouTube""",0,gila laku youtube
473,"""Kasian yah sdh stress banyak masalah""",0,kasihan yah stress
474,"""Kok jatohnya malah kek ajg sih rikkk""",0,jatohnya kek ajg sih rikkk
475,"""Karir turun jadi autis kasian hahah""",0,karir turun autis kasihan hahah
476,"""erick yang kek gini yang gua kangenin, keep it up bruuh""",1,erick kek gin kangenin keep up bruuh
477,"""Udah mau autis iya bg awokawkk""",0,autis iya awokawkk
478,"""Kasian masih muda udah stresss""",0,kasihan muda stresss
479,"""Banyak komen yg support malah ketutup yg hate bgst emang IG""",1,komen support tutup hate bgst ig
480,"""Maudy cantik na natural bnr2 cantik bgt, cantik luar dlm""",1,maudy cantik na natural cantik cantik
481,"""Bikin konten YouTube Student life at standford @maudyayunda seperti waktu S1 at Oxford. Fansmu pada nungguin nih.""",1,bikin konten youtube student life at standford maudyayunda s at oxford fansmu tunggu nih
482,"""Aura org pinter emg shining ya bun @hy_dindut""",1,aura orang pintar shining ya bun hydindut
483,"""Paket lengkap deh.. udh cantik pintar lagi""",1,paket lengkap deh cantik pintar
484,"""Sukaa bnget sm artis ini… nggak neko2.. dan natural bngett""",1,sukaa artis neko natural bngett
485,"""Cantik, pintar bertalenta, ortu mana yg gak kepengen punya anak kyk mba maudy""",1,cantik pintar talenta orangtua anak mba maudy
486,"""Idih mak lampir, dibanding uya ma lu, lu bagaikan butiran debu,, lu dikenal karena bacot… rajin2 ngaca deh""",0,idih mak lampir banding uya ma butir debu kenal bacot rajin ngaca deh
487,"""Anjirlah muka lo kek kuntilanak malah sok cantik""",0,anjir muka kek kuntilanak sok cantik
488,"""Mbak cadel yg bangga dengan cadelnya,, Harusnya sih kasihan karna cadel tapi lama"" jadi jijik kenapa gak sekalian bisu aja""",0,mbak cadel bangga cadel sih kasihan cadel jijik bisu
489,"""Uda pinter, cantik gak kebanyakan tingkah. Perfect""",1,pintar cantik banyak tingkah perfect
490,"""Hati-hati mody jangan keluar sendirian jaga-jaga serangan brutal rasisme, wajahmu sekilas mirip onnie2 korea. Tetap waspada""",1,hatihati mody jagajaga serang brutal rasisme wajah kilas onnie korea waspada
491,"""Bikin konten Youtube daily activity di Stanford dong kak @maudyayunda""",1,bikin konten youtube daily activity stanford kak maudyayunda
492,"""Motivasi ku ka Maudy cantipp bngt""",1,motivasi ka maudy cantipp
493,"""Semoga kecerdasan Mbak Maudy bermanfaat bagi agama, nusa, dan bangsa.. Aamiin""",1,moga cerdas mbak maudy manfaat agama nusa bangsa aamiin
494,"""Damage nya cewek pinter gada lawann""",1,damage nya cewek pintar lawann
495,"""cantikan waktu berisi dulu… sekarang kurus bgt, kurus begini auranya kurang""",0,cantik isi kurus kurus aura
496,"""cantik sih, tapi sayang kurus ya. padahl udh nikah lo, kurang bahagia sama pernikahannya?""",0,cantik sih sayang kurus ya padahl nikah bahagia nikah
497,"""masih good vibes walaupun sedang lapar""",1,good vibes lapar
498,"""kakak cantik bgt bismillah cerdasnya nular""",1,kakak cantik bismillah cerdas nular
499,"""Bego lu. Alam semesta dan seisinya pun serentak murka mendengarkan lagumu""",0,bodoh alam semesta isi serentak murka dengar lagu
500,"""Dua2 nya cantik banget masya Allah""",1,nya cantik masya allah
501,"""ka nisa mirip ariana grande masa""",1,ka nisa ariana grande
502,"""Adiknya Kak Maudy, cantik, pinter, aura positifnya keluar, ramah, lemah lembut, rajin, sholeha""",1,adik kak maudy cantik pintar aura positif ramah lemah lembut rajin sholeha
503,"""Sekilas yg abu mirip ariana grande haha""",1,kilas abu ariana grande haha
504,"""Yang satu nya mirip Ariana grande""",1,nya ariana grande
505,"""Kakak sama adek sama sama cantik ya aku suka sama dua duanya""",1,kakak adik cantik ya suka dua
506,"""Rambutnya kak modd bagussss… Item berkilauu""",1,rambut kak modd bagussss hitam berkilauu
507,"""Cantik semua congrats kak msuk nominsi tc candler""",1,cantik congrats kak msuk nominsi tc candler
508,"""Maudy enak bet dah cantik iya pinter iya""",1,maudy enak bet cantik iya pintar iya
509,"""kukira dedeknya berdiri itu mau mukul bang jer pake ukulele… ternyata aku salah salah :""""",1,kira dedek diri mukul bang jer pakai ukulele salah salah
510,"""Bang jerome KLO nyanyiny kek gini bagus suaranya ganyangkaaa""",1,bang jerome nyanyiny kek gin bagus suara ganyangkaaa
511,"""Sutan kamu sangat lucu dan menggemaskan""",1,sutan lucu gemas
512,"""Bang sering-sering dong buat vidio bareng sutan dia kayanya juga seneng ama bang jerom""",1,bang seringsering vidio bareng sutan kayak senang ama bang jerom
513,"""Klu @jeromepoline buat video tapi berdua aja seharian sama anak kecil, hahah lucu juga gimana riwehnya""",1,jeromepoline video dua hari anak hahah lucu gimana riwehnya
514,"""Muka lu kok cabul banget sih bg hahah""",0,muka cabul sih hahah
515,"""Dari raut mukanya aja udh terlihat seperti org kalah judi dan tidak pernah makan enak""",0,raut muka orang kalah judi makan enak
516,"""Kak jerome kayak boneka tau hahah""",1,kak jerome boneka hahah
517,"""Mukbang makanan sehat dong kak. Salad jepang gituuu.""",1,mukbang makan sehat kak salad jepang gituuu
518,"""Yakinin dulu niatnya bg… Semoga sukses""",1,yakinin niat moga sukses
519,"""Bang, aku nonton kamu setelah aku kerja di Jepang. Bermanfaat bgt kontennya jd gampang kalo mau nyari apa apa di Jepang""",1,bang nonton kerja jepang manfaat konten gampang cari jepang
520,"""Cuman rumus diet ini yg ga bisa dipecahka ya bang?""",1,rumus diet dipecahka ya bang
521,"""Perut makin maju tpi semangat jangan tak maju""",1,perut maju semangat maju
522,"""Pantesan kak Jessica bilang bang jerom beruang wkwkwk""",1,kak jessica bilang bang jerom beruang wkwkwk
523,"""Aduhh susah klo urusan sma Jerome rumus matematika terus bahasannya… Apakah daya diriku yg lebih suka bhs Inggris drpd matematika""",1,aduhh susah urus sma jerome rumus matematika bahas daya diri suka bahas inggris matematika
524,"""Kaya tulus ya mukanya klo diliat2""",1,kaya tulus ya muka liat
525,"""Kak Jerome, bagi trik biar bisa paham dan ingat cepat rumus matematika, dung:)""",1,kak jerome trik biar paham cepat rumus matematika dung
526,"""Baru x ini baca caption harus mikir dan pakai kalkulator cuyyy hahaha""",1,x baca caption mikir pakai kalkulator cuyyy hahaha
527,"""Sumpah si kak, kemeja jeans bikin keliatan seger bgt mantap mantap""",1,sumpah si kak kemeja jeans bikin seger mantap mantap
528,"""Mirip ama aktor korea yg main di film reply 1988 yg jadi kaka nya jung hwan wkwk""",1,ama aktor korea main film reply kaka nya jung hwan wkwk
529,"""iya bang jer terlihat berbeda klo pake style kayak gini lebih terlihat fresh anak gaul""",1,iya bang jer beda pakai style gin fresh anak gaul
530,"""Klo style ke gini pas gitu bang sma umur lu yg msh muda keliatan lbh fresh aja sesuai sma umur""",1,style gin pas bang sma umur muda fresh sesuai sma umur
531,"""Kok makin dewasa makin imutt aih cipaaaaaa""",1,dewasa imutt aih cipaaaaaa
532,"""maniss bangettt pengen dah punya senyuman manis kayak ka syifaaa""",1,maniss bangettt ken senyum manis ka syifaaa
533,"""Nih orang manis bnget sihh ga ngerti lagi""",1,nih orang manis sihh ngerti
534,"""Kakak pinter nyanyi ya @syifahadjureal, suaranya bagus kak""",1,kakak pintar nyanyi ya syifahadjureal suara bagus kak
535,"""Gk salah kalo kak syifa cantik mamahnya aja cantik bgtt!! Jujurr""",1,salah kak syifa cantik mamah cantik bgtt jujurr
536,"""Lelaki yg mendapatkan km. Adalah lelaki yg beruntung.""",1,lelaki lelaki untung
537,"""Kamu mirip bgt ayahmu kalo adikmu mirip bgt mamamu""",1,ayah adik mama
538,"""Kakak udah cantik sii, tapi cantikan lagi kalo pake hijab""",1,kakak cantik sii cantik pakai hijab
539,"""Gemeshh rasanya kaya aku pengen cubit""",1,gemeshh kaya ken cubit
540,"""@angelkmgi ini paling cute sih, ganteng parah msh kecil jg""",1,angelkmgi cute sih ganteng parah
541,"""Pengen gw pacul mulut lo!! woii anjeng busuk""",0,ken pacul mulut woii anjeng busuk
542,"""Sering blg ke org2 artis cewek yg menurutku paling cantik syifa sama ziu""",1,bilang orang artis cewek turut cantik syifa ziu
543,"""Ka cipa tu uda cantik, baik, manis bgt pula, manisnya tu nglebihin gula""",1,ka cipa cantik manis manis nglebihin gula
544,"""Dilihat sekilas pun tampak jelas kalau cantikkan syifa""",1,kilas cantik syifa
545,"""Setuju g sih? Si dia tetep cntik bgt meski g pke make up… lah aku g pke make up pucet bgt kyk g makan setahunn""",1,tuju sih si cntik pakai pakai up pakai pakai up pucet makan setahunn
546,"""dahlahh emang cantik luar dalam kmu ini cippp""",1,dahlahh cantik cippp
547,"""Muka cantik tanpa make up hini, bahagia bgt kali ya yg jadi suaminya, bisa liat bidadari setiap harinya.""",1,muka cantik pakai up hini bahagia kali ya suami liat bidadari hari
548,"""Suka bgtt sm kak cipaa.. orangnya humble sm semua orang dan banyak temannya juga""",1,suka bgtt kak cipaa orang humble orang teman
549,"""Artis remaja di Indonesia yg manis bgt kalo senyum Cuma dia deh perasaan yg nempel di hati""",1,artis remaja indonesia manis senyum deh asa nempel hati
550,"""Aku doakan perempuan baik yg bernama Nagita selalu sehat, bahagia lahir batin, dan banyak yang sayang sm dia..""",1,doa perempuan nama nagita sehat bahagia lahir batin sayang
551,"""Rafathar nya mantull ni, pulang nggk jd nginep karna nggk ada temen mamany d rmh papany belum pulangg.. jd jagain dan temenin mama dulu  ya aa""",1,rafathar nya mantull ni pulang inap teman mamany rumah papany pulangg jagain teman mama ya aa
552,"""kultur kerja kaya gini menurut gw bagus si ga kapitalis banget, petingginya juga ikut kerja misal ngevlog atau endors, semoga gaji juga ga senjang si haha""",1,kultur kerja kaya gin bagus si kapitalis petinggi kerja ngevlog endors moga gaji senjang si haha
553,"""Pantas pada senang kerja di Rans.. mbak gigi nggak ngebossy..""",1,senang kerja rans mbak gigi ngebossy
554,"""Seneng yaa lihat orang sukses meeting. Ya Allah pengen sukses kayak gitu biar ada status di instastory""",1,senang yaa lihat orang sukses meeting ya allah ken sukses biar status instastory
555,"""smga semua kelg dan crew sehat semua.. dan rejeki trs lancar ya kak gigi..""",1,moga kelg crew sehat rejeki lancar ya kak gigi
556,"""Fokus ke nagita pas mau minum masih sempet baca doa. keren bgt hasil dari didikan orang tua nya""",1,fokus nagita pas minum sempet baca doa keren hasil dik orang tua nya
557,"""Kasihan ya , Nagita punya suami kerjaannya berzinah terus""",0,kasihan ya nagita suami kerja berzinah
558,"""Koreaable banget face rafathar cakep ganteng manis banget""",1,koreaable face rafathar cakap ganteng manis
559,"""MasyaAllah Rafathar tambah besar makin tambah ganteng bgt gk kuat ngeliat alisny…""",1,masyaallah rafathar ganteng kuat ngeliat alisny
560,"""Kok mirip siwon ya lama2, apa perasaan gw aja.""",1,siwon ya asa
561,"""Lucunya berasa kayak kaka dan adek""",1,lucu asa kaka adik
562,"""Itu wajah nagita kya masih umur 20an""",1,wajah nagita kya umur an
563,"""Foto no edit edit ya saayy kamera nyaa bening,,, model fotonya pun juga bening gak perlu pakai filter tipu tipu""",1,foto nomor edit edit ya saayy kamera nyaa bening model foto bening pakai filter tipu tipu
564,"""Look-nya Rafathar emang gak bisa dipungkiri, diborong gen mama gigi semua HAHA.""",1,looknya rafathar dipungkiri borong gen mama gigi haha
565,"""Nagita masa kaya anak muda coba cantikk bangeett""",1,nagita kaya anak muda coba cantikk bangeett
566,"""Masyaallah mamany cantik anakny ganteng, perfect""",1,masyaallah mamany cantik anak ganteng perfect
567,"""Kaya adek kakak.. kak gigi keliatan muda banget""",1,kaya adik kakak kak gigi muda
568,"""Tambah gede aja rafathar ya tambah pinter ya Rafathar""",1,gede rafathar ya pintar ya rafathar
569,"""Mama gigi kalau rambutnya agak pirang tambah cantik dan tampak lebih muda""",1,mama gigi rambut pirang cantik muda
570,"""OOTD mama gigi simple tapi elegan dilihat nya, masyaallah""",1,ootd mama gigi simple elegan nya masyaallah
571,"""Masyaallah mamah gigi bening bet dah, sehat selalu mamah gigi dn keluarga""",1,masyaallah mamah gigi bening bet sehat mamah gigi keluarga
572,"""mama gigi ketemu gajah. gajahnya seneng sampai ketawa gitu ahhaha.""",1,mama gigi ketemu gajah gajah senang tertawa ahhaha
573,"""Ya allah ga tau knp ak suka setiap lihat nagita pake dress modelnya cakep cakep""",1,ya allah suka lihat nagita pakai dress model cakap cakap
574,"""i see beauty in everything mba gigi sehat selalu sama dede bayi nya""",1,i see beauty in everything mba gigi sehat dede bayi nya
575,"""Mama gigi cantik banget… look younger than her age.. love mama gigi""",1,mama gigi cantik look younger than her age love mama gigi
576,"""Semoga adeknya rafathar menjadi anak yang tangguh kuat cerdas""",1,moga adeknya rafathar anak tangguh kuat cerdas
577,"""Pakaian apapun yg dipake mama gigi selalu keceee""",1,pakai apa pakai mama gigi keceee
578,"""Terima kasih kak Nagita @raffinagita1717 sudah support Molly si gajah dan satwa-satwa di Bali Zoo lainnya dengan kunjungannya bersama keluarga""",1,terima kasih kak nagita raffinagita support molly si gajah satwasatwa bal zoo kunjung keluarga
579,"""Kaya ny gajahnya merasakan aura positif nya mb gigi itu… kelihatan sumringah jg gajahnya loo..""",1,kaya nya gajah rasa aura positif nya mb gigi sumringah gajah loo
580,"""Manis banget mbak gigi.. Masya Allah.. hamil semakin bersinar..""",1,manis mbak gigi masya allah hamil sinar
581,"""Mama gigi gapernah ga cantik sih kalo menurut aku.""",1,mama gigi cantik sih
582,"""Semoga sehat selalu bayi dalam kandungan nya sama ibunya ya.""",1,moga sehat bayi kandung nya ibu ya
583,"""Cantik banget semoga sehat selalu kakak panutan""",1,cantik moga sehat kakak panutan
584,"""MasyaAllah selalu mempesona baik kaum adam maupun kaum hawa""",1,masyaallah pesona kaum adam kaum hawa
585,"""Gak ada orang lain yang bangun tidur siang secantik ini selain ka yaya""",1,orang bangun tidur siang cantik ka yaya
586,"""makin tua makin muda yehh mukanya, mana cantik bngett mo nangiss ampun cantik terus ka yaya""",1,tua muda yehh muka cantik bngett nangiss ampun cantik ka yaya
587,"""Gapaham lagi cakeup nya natural Masyaallah""",1,gapaham cakeup nya natural masyaallah
588,"""Raisa mah tipe cantik tapi sopan santun pakaiannya""",1,raisa mah tipe cantik sopan santun pakai
589,"""ka yayaaa, why are you always stunning pretty girl.""",1,ka yayaaa why are you always stunning pretty girl
590,"""Ya Allah ni orang apa peri, cantik amatt""",1,ya allah ni orang peri cantik amatt
591,"""Kenapa cantik banget aku heran dilihat dari samping kanan kiri depan dll tetep aja cantik""",1,cantik heran samping kanan kiri cantik
592,"""BISA BERHENTI CAKEP GA KAKK? PUSINGGGG IH""",1,henti cakap kakk pusingggg ih
593,"""Cantik bajunya keren warnanya bikin pangling""",1,cantik baju keren warna bikin pangling
594,"""Sudah dongggg dan sudah di liked juga.. congratulations""",1,dongggg liked congratulations
595,"""Udaaaahh nontonnnnn.. lagunya bajunya makeup dan hairdo nyaaa sukaakkkk""",1,udaaaahh nontonnnnn lagu baju makeup hairdo nyaaa sukaakkkk
596,"""Raisa sekarang ngak monoton…. Jadi suka deh…. Sering2 kek gini….""",1,raisa monoton suka deh kek gin
597,"""udah dong. Lagi ngunyah aja cute banget""",1,kunyah cute
598,"""Penyihir secantik ini gue rela dikutuk jadi tokek laut""",1,sihir cantik rela kutuk tokek laut
599,"""Ya ampun kak makan apa sih kok bisa cantik banget""",1,ya ampun kak makan sih cantik
600,"""Ya allah kek anak yg msh batita klo lg ngambek manyunnya begitu, gemes hahaha""",1,ya allah kek anak batita marah manyunnya gemes hahaha
601,"""Aku udah. Dan sumpah bagus banget. Serasa liat cerita disney gitu""",1,sumpah bagus serasa liat cerita disney
602,"""lu lebih gak sopan, mukak lu kayak babi!""",0,sopan mukak babi
603,"""ya Allah kenapa begitu sempurna sih ciptaanmu yg satu in""",1,ya allah sempurna sih cipta in
604,"""Ragu aja cantiknya udh kek gini, gmn kl yakin yak, cantiknya kek apa, heran""",1,ragu cantik kek gin yak cantik kek heran
605,"""Bukan keliatan ragu, tapi keliatan cantik""",1,ragu cantik
606,"""Warna yang paling bikin Raisa makin shinning itu merah, hitam, putih, pink and emerald""",1,warna bikin raisa shinning merah hitam putih pink and emerald
607,"""Raisa pake baju merah sumpahh cantik bgttt""",1,raisa pakai baju merah sumpahh cantik bgttt
608,"""Liriknya pendek tp susah di hafal pas awal awal, begitu di puter beberapa kali eh kok candu banget""",1,lirik pendek susah hafal pas putar kali eh candu
609,"""Demi apa, Kak Yaya gk pernah ngeRAGUin para pendengar lagu2 nya""",1,kak yaya ngeraguin dengar lagu nya
610,"""Ka yaya kalo ragu tetep secantik itu yah :"")""",1,ka yaya ragu cantik yah
611,"""Ragu aja cantik kan kak, apalagi kalau serius""",1,ragu cantik kak serius
612,"""Ngga alay. Ngga muluk muluk. Natural. Sukaaaa",1,alay muluk muluk natural sukaaaa
613,"""seru bgt gemoy, tim berkebun plus tim alam bgt niiii""",1,seru gemoy tim kebun plus tim alam niiii
614,"""nikmatnya bisa menghirup oksigen dengan bebas ya :)""",1,nikmat hirup oksigen bebas ya
615,"""Slide kedua mukanya mau gaya apa aja tetep cantikk""",1,slide muka gaya cantikk
616,"""mba isyana foto gelap2an gini aja aesthetic bgt ya""",1,mba isyana foto gelap gin aesthetic ya
617,"""mba isyana udah cantik suaranya bagus kompeten pula, ah sukaaaa""",1,mba isyana cantik suara bagus kompeten ah sukaaaa
618,"""Ga Taulah aku juga suka banget sama gayanya isyan""",1,tau suka gaya isyan
619,"""Kangen nonton konser isyan secara lgsg, meskipun msh bisa virtual, Cuma experience-nya lebih dapat aja gitu""",1,kangen nonton konser isyan langsung virtual experiencenya
620,"""Congrats ka @isyanasarasvati, terus berkarya, makin sukses… dan terus mnjd inpirasi kita semua…""",1,congrats ka isyanasarasvati karya sukses mnjd inpirasi
621,"""Congrats kak, kamu memang pantes mendapatkannya""",1,congrats kak pantes dapat
622,"""Saya berharap kak @isyanasarasvati panjang umur. Sehingga bisa jadi inspirasi untuk musisi seluruh Indonesia. Saya suka musik indonesia dengan adanya kak Isyana""",1,harap kak isyanasarasvati umur inspirasi musisi indonesia suka musik indonesia kak isyana
623,"""Udah cantik, rada gesrek tapi ya ini banyak kelebihannya, semangat tetap produktif""",1,cantik gesrek ya lebih semangat produktif
624,"""Gatau lagi, serasa nonton wtf beneran di jkt meski virtual and thankyouu for the performance kak syan! Selalu keren dan pecah! Tak pernah sekalipun mengecewakan""",1,gatau serasa nonton wtf jakarta virtual and thankyouu for the performance kak syan keren pecah kecewa
625,"""Walaupun ga pernah lihat ka isyana live beneran di panggung. Tp aku terpesona bgt ama live virtual asli keren""",1,lihat ka isyana live panggung pesona ama live virtual asli keren
626,"""yash we the fest even virtual tapi tetep keren bgt kak syann huaaa energi nya dpt bgt""",1,yash we the fest even virtual keren kak syann huaaa energi nya
627,"""Keren banget!!! walaupun sebentar tapi mantap abis! Ditunggu karya selanjutnya ya kak! Stay safe and healthy isyana ku""",1,keren sebentar mantap habis tunggu karya ya kak stay safe and healthy isyana
628,"""makaseh jugaa kakaaa inyeeuuuu semoga aku bisa pantang menyerah seperti kakak dan teman musisi lainnya yaaa""",1,makaseh jugaa kakaaa inyeeuuuu moga pantang serah kakak teman musisi yaaa
629,"""Thank you juga, Syan! Seneng banget kemarin haha! Semoga setelah pandemi ini, semua rencana dilancarkan ya, Syan!""",1,thank you syan senang kemarin haha moga pandemi rencana lancar ya syan
630,"""hua seneng bgt kmrn walaupun Cuma 35 menitan tp seneng liat isyan, adaptasi kebiasaan baruku semoga bisa lebih teratur maemnya, ditunggu karya selanjutnya kaka""",1,hua senang kemarin menit senang liat isyan adaptasi biasa baru moga atur maemnya tunggu karya kaka
631,"""senang akhirnya indonesia bisa mempunyai musisi idealis berkualitas tinggi yg masih bisa terus berkarya & diapresiasi oleh banyak orang…""",1,senang indonesia musisi idealis kualitas karya apresiasi orang
632,"""Berharap bisa menghadirkan musisi dgn genre yang lain dr yg sudah ada di industri… biar musik Indonesia lebih berwarna""",1,harap hadir musisi genre industri biar musik indonesia warna
633,"""congrats kak isyan semoga semua impian-impian baiknya segera bisa terwujud aamiin""",1,congrats kak isyan moga impianimpian baik wujud aamiin
634,"""Bener bener idola, dr musisi yang dipandang sebelah mata sampe buat label musik sendiri, congrats syan""",1,idola musisi pandang belah mata label musik congrats syan
635,"""CONGRATS KAK ISYAN semoga karya nya apa yg dilakukan kakak sukses teruss""",1,congrats kak isyan moga karya nya kakak sukses teruss
636,"""ORANG INI TERLIHAT SANGAT SANGAT STRES DAN GILA""",0,orang stres gila
637,"""Gua kalai jadi tuhan gaakan gua jadiin dia ini manusia, lebih pante ga hidup ini orang di dunia, akhlaknya gaada tolol bangsat""",0,kalai tuhan gaakan manusia pante hidup orang dunia akhlak tolol bangsat
638,"""Biasa nya aq nangis kalo lagu nya seiihh, kalo sekarang nangis karna saking bagus nya lagu nya""",1,nya nang lagu nya seiihh nang saking bagus nya lagu nya
639,"""definisi minat ketemu bakat ketemu kerja keras""",1,definisi minat ketemu bakat ketemu kerja keras
640,"""@vnagstn astaga si isyana keren banget ini; bisa ada musisi lokal yang selera musiknya kayak gini""",1,vnagstn astaga si isyana keren musisi lokal selera musik gin
641,"""MashaAllah… udh cantik, pinter, jago nyanyi dn mainin alat musik pula neng @isyanasarasvati ngefans bener ini mah""",1,mashaallah cantik pintar jago nyanyi mainin alat musik neng isyanasarasvati ngefans mah
642,"""Gilaaaa.. gila.. gilaaaa Tangan, kaki, ekspresi, n emosi tertuang adi suatu karya yg fantastis""",1,gilaaaa gila gilaaaa tangan kaki ekspresi n emosi tuang adi karya fantastis
643,"""Gosh, tiap kali lihat isyana mainin alat musik kaya lihat jiwanya beda. Merinding gila. Kaya kepribadiannya jadi serius bangett""",1,gosh kali lihat isyana mainin alat musik kaya lihat jiwa beda merinding gila kaya pribadi serius
644,"""Sumpah demi allah bagus bangett kereennn merinding ak nya.. dengerin sampe abis tiba2 aja ampe netesin air mata""",1,sumpah allah bagus kereennn merinding nya dengerin habis netesin air mata
645,"""aku memutuskan untuk menjadi fans isyana. gila keren banget ya, otak mereka berdua bisa berfungsi dg menjalankan perintah ke tangan dan kaki, di waktu bersamaan""",1,putus fans isyana gila keren ya otak dua fungsi jalan perintah tangan kaki sama
646,"""AMZING ISYANAA!! Jujur aku amazed banget dengan skill dan minat Isyana dalam bermusik. Ga Cuma bernyanyi tapi main alat musik pun jago banget""",1,amzing isyanaa jujur amazed skill minat isyana musik nyanyi main alat musik jago
647,"""paling ngiri liat orang keren maen alat musik dan dalem banget nikmatin permainan sendiri""",1,ngiri liat orang keren main alat musik nikmatin main
648,"""Sampe ga bisa berkata2 lagi buat isyana, sangat2 sempurna org ini""",1,isyana sempurna orang
649,"""Inimah bukan main alat musik lagi. Olahraga jari dan kaki ini mah""",1,inimah main alat musik olahraga jari kaki mah
